Price,DateOfPrice
0.28636140839578816,08/22/2022 00:00:00
0.2419207580050532,08/23/2022 00:00:00
0.22943558685272925,08/24/2022 00:00:00
0.2288239972282885,08/25/2022 00:00:00
0.23990348568751518,08/26/2022 00:00:00
0.283468600704772,08/29/2022 00:00:00
0.2724259539791942,08/30/2022 00:00:00
0.2690640476305799,08/31/2022 00:00:00
0.19816769685182622,09/01/2022 00:00:00
0.17103996441965086,09/02/2022 00:00:00
0.13622557128771628,09/05/2022 00:00:00
0.17988648200945645,09/06/2022 00:00:00
0.17560586586016758,09/07/2022 00:00:00
0.14947318341339344,09/08/2022 00:00:00
0.14888744051814395,09/09/2022 00:00:00
0.13645645133446493,09/12/2022 00:00:00
0.11673468530373088,09/13/2022 00:00:00
0.14064008731836197,09/14/2022 00:00:00
0.1297834841078057,09/15/2022 00:00:00
0.11747497097555282,09/16/2022 00:00:00
0.14689210083256232,09/19/2022 00:00:00
0.17156114813308243,09/20/2022 00:00:00
0.13527298505505292,09/21/2022 00:00:00
0.1760181104312838,09/22/2022 00:00:00
0.1950562792767191,09/23/2022 00:00:00
0.23202363633289935,09/26/2022 00:00:00
0.2938276073276418,09/27/2022 00:00:00
0.34392395680206955,09/28/2022 00:00:00
0.42901811804319556,09/29/2022 00:00:00
0.48974101726091845,09/30/2022 00:00:00
0.5944907466818474,10/03/2022 00:00:00
0.5806981938675593,10/04/2022 00:00:00
0.5798738223854762,10/05/2022 00:00:00
0.5347026305693607,10/06/2022 00:00:00
0.4848199303191212,10/07/2022 00:00:00
0.5006648302620402,10/10/2022 00:00:00
0.423050043667766,10/11/2022 00:00:00
0.46843158133340856,10/12/2022 00:00:00
0.36073266468196397,10/13/2022 00:00:00
0.37784282292660887,10/14/2022 00:00:00
0.34276846790861204,10/17/2022 00:00:00
0.3839584891503962,10/18/2022 00:00:00
0.44732058493905047,10/19/2022 00:00:00
0.3693731026624669,10/20/2022 00:00:00
