Price,DateOfPrice
0.2863614083957877,08/22/2022 00:00:00
0.2414222587749313,08/23/2022 00:00:00
0.2303614285754847,08/24/2022 00:00:00
0.23134200499938906,08/25/2022 00:00:00
0.24381432341148646,08/26/2022 00:00:00
0.286672256478294,08/29/2022 00:00:00
0.27716281067248616,08/30/2022 00:00:00
0.27544080284387373,08/31/2022 00:00:00
0.1998876648876733,09/01/2022 00:00:00
0.173222679996071,09/02/2022 00:00:00
0.13751886793956247,09/05/2022 00:00:00
0.17852757232419414,09/06/2022 00:00:00
0.17589153251011602,09/07/2022 00:00:00
0.15015362229434537,09/08/2022 00:00:00
0.15119878284967037,09/09/2022 00:00:00
0.1400988749804375,09/12/2022 00:00:00
0.12103076417042535,09/13/2022 00:00:00
0.14486766164781972,09/14/2022 00:00:00
0.13542722925382167,09/15/2022 00:00:00
0.124405659798974,09/16/2022 00:00:00
0.15307409398753125,09/19/2022 00:00:00
0.17809507097765032,09/20/2022 00:00:00
0.14095448389256582,09/21/2022 00:00:00
0.1797203092119699,09/22/2022 00:00:00
0.19988858009337207,09/23/2022 00:00:00
0.23660305569884343,09/26/2022 00:00:00
0.29584075134551036,09/27/2022 00:00:00
0.34548512825766764,09/28/2022 00:00:00
0.4274580981597902,09/29/2022 00:00:00
0.4878115521919133,09/30/2022 00:00:00
0.589816424920329,10/03/2022 00:00:00
0.5771564428225204,10/04/2022 00:00:00
0.5775084491088247,10/05/2022 00:00:00
0.5330529493904557,10/06/2022 00:00:00
0.4837761710440116,10/07/2022 00:00:00
0.5009029196444494,10/10/2022 00:00:00
0.4225134860164701,10/11/2022 00:00:00
0.46837571978164316,10/12/2022 00:00:00
0.356989860140974,10/13/2022 00:00:00
0.37567048809793313,10/14/2022 00:00:00
0.34181518735158534,10/17/2022 00:00:00
0.38362262092193067,10/18/2022 00:00:00
0.44643222238312763,10/19/2022 00:00:00
0.3675060387638336,10/20/2022 00:00:00
